amenity,geometry,name
restaurant,POINT (12.2988899 45.6081548),Autogrill
restaurant,POINT (12.3083378 45.6070771),Agriturismo Porcaloca
restaurant,POINT (12.2969875 45.6077838),Autogrill
restaurant,POINT (12.2988899 45.6081548),Autogrill
restaurant,POINT (12.3083378 45.6070771),Agriturismo Porcaloca
restaurant,POINT (12.2969875 45.6077838),Autogrill
restaurant,POINT (12.2988899 45.6081548),Autogrill
fast_food,POINT (15.168557 41.9097281),Sarni
fast_food,POINT (15.168557 41.9097281),Sarni
fast_food,POINT (15.168557 41.9097281),Sarni
fast_food,POINT (12.7592813 41.8916005),Autogrill Prenestina Est
fast_food,POINT (12.7586731 41.8890762),Autogrill Prenestina Ovest
fast_food,POINT (12.7592813 41.8916005),Autogrill Prenestina Est
fast_food,POINT (12.7586731 41.8890762),Autogrill Prenestina Ovest
restaurant,POINT (9.1489382 45.5301541),Autogrill
restaurant,POINT (9.1409851 45.533344),Pizzeria dell'Oca
restaurant,POINT (9.1403232 45.5332832),Il Basilico
restaurant,POINT (9.1399568 45.5331639),Leone
restaurant,POINT (9.1420132 45.5329834),Profumo di Pizza
restaurant,POINT (9.1421505 45.5321587),Locanda Conte Ghiotto
restaurant,POINT (9.1545495 45.5306728),Trattoria Procopio
cafe,POINT (9.1410753 45.5315021),Cimino
cafe,POINT (9.1410194 45.5315537),Caffè della Rotonda
pub,POINT (9.1410906 45.5311671),Leone
cafe,POINT (9.1394035 45.5316728),London
post_office,POINT (9.1392698 45.5314359),Mail Boxes Etc.
cafe,POINT (9.1392859 45.5316063),Latteria di Novate
bar,POINT (9.1415691 45.5319559),Nero 17
cafe,POINT (9.1399836 45.5316654),Gelato e Caffè
cafe,POINT (9.1401104 45.5317608),Cafè Vintage
restaurant,POINT (9.1398686 45.5318153),La Volpe
restaurant,POINT (9.1392923 45.531791),Novate Grill House
cafe,POINT (9.1395421 45.5284914),Cafè Village
restaurant,POINT (9.140718 45.5314774),San Karas
restaurant,POINT (9.1489382 45.5301541),Autogrill
restaurant,POINT (9.1409851 45.533344),Pizzeria dell'Oca
restaurant,POINT (9.1403232 45.5332832),Il Basilico
restaurant,POINT (9.1399568 45.5331639),Leone
restaurant,POINT (9.1420132 45.5329834),Profumo di Pizza
restaurant,POINT (9.1421505 45.5321587),Locanda Conte Ghiotto
restaurant,POINT (9.1545495 45.5306728),Trattoria Procopio
cafe,POINT (9.1410753 45.5315021),Cimino
cafe,POINT (9.1410194 45.5315537),Caffè della Rotonda
pub,POINT (9.1410906 45.5311671),Leone
cafe,POINT (9.1394035 45.5316728),London
