outletId,chargerId,position,type,physicalPosition,cableLength,producer,errorCode,hycErrorCode,status,text,updateTime,isPrivate
62501,9726,2,CCS2_400,4.0,500,,NoError,NoError,Available,No Error,2024-09-03T14:00:05+00:00,False
114538,16935,1,CCS2_400,1.0,500,,NoError,NoError,Available,No Error,2024-09-03T11:20:18+00:00,False
114539,16935,2,CCS2_400,4.0,500,,NoError,NoError,Available,No Error,2024-09-03T13:46:21+00:00,False
51430,8112,1,CCS2_400,1.0,500,,NoError,NoError,Available,No Error,2024-09-02T11:26:01+00:00,False
51431,8112,2,CCS2_400,4.0,500,,NoError,NoError,Available,No Error,2024-09-03T11:47:29+00:00,False
127895,19517,1,CCS2_400,1.0,500,,NoError,NoError,Available,No Error,2024-09-03T17:31:04+00:00,False
127896,19517,2,CCS2_400,4.0,500,,NoError,NoError,Available,No Error,2024-09-02T12:26:26+00:00,False
1326340,76421,1,CCS2_400,1.0,500,,NoError,NoError,Available,No Error,2024-09-03T09:36:20+00:00,False
1326341,76421,2,CCS2_400,4.0,500,,NoError,NoError,Available,No Error,2024-09-02T08:19:33+00:00,False
63391,9838,1,CCS2_400,1.0,500,,NoError,NoError,Available,No Error,2024-09-03T15:18:16+00:00,False
63392,9838,2,CCS2_400,4.0,500,,NoError,NoError,Available,No Error,2024-09-03T15:36:23+00:00,False
1463192,83768,1,CCS2_400,1.0,500,,NoError,NoError,Available,No Error,2024-09-03T18:36:05+00:00,False
1463193,83768,2,CCS2_400,4.0,500,,NoError,,Available,No Error,2024-09-03T17:47:16+00:00,False
114542,16934,1,CCS2_400,1.0,500,,NoError,NoError,Available,No Error,2024-09-03T18:56:19+00:00,False
114543,16934,2,CCS2_400,4.0,500,,NoError,NoError,Available,No Error,2024-09-03T18:20:04+00:00,False
84016,11428,1,CCS2_400,1.0,500,,OtherError,Output_Disabled_IsoFaultPersistent,Unavailable,Connection lost.,2024-04-24T03:00:04+00:00,False
84017,11428,2,CCS2_400,4.0,500,,OtherError,Output_Disabled_IsoFaultPersistent,Unavailable,Connection lost.,2024-04-24T03:00:04+00:00,False
114197,16946,1,CCS2_400,1.0,500,,NoError,NoError,Available,No Error,2024-09-03T14:53:18+00:00,False
114198,16946,2,CCS2_400,4.0,500,,NoError,NoError,Available,No Error,2024-09-03T10:51:05+00:00,False
114895,17808,1,CCS2_400,1.0,500,,NoError,NoError,Available,No Error,2024-09-03T11:54:26+00:00,False
114896,17808,2,CCS2_400,4.0,500,,NoError,NoError,Available,No Error,2024-09-03T14:27:11+00:00,False
63389,9837,1,CCS2_400,1.0,500,,NoError,NoError,Available,No Error,2024-09-03T08:58:25+00:00,False
63390,9837,2,CCS2_400,4.0,500,,NoError,NoError,Available,No Error,2024-09-03T18:23:00+00:00,False
42848,6590,1,CCS2_400,1.0,500,,NoError,NoError,Available,No Error,2024-09-03T16:51:51+00:00,False
42849,6590,2,CCS2_400,4.0,500,,NoError,NoError,Available,No Error,2024-09-03T12:00:57+00:00,False
131992,20809,1,CCS2_400,1.0,500,,NoError,NoError,Available,No Error,2024-09-02T10:33:38+00:00,False
131993,20809,2,CCS2_400,4.0,500,,NoError,NoError,Available,No Error,2024-09-03T09:22:38+00:00,False
71066,10544,1,CCS2_400,1.0,500,,NoError,NoError,Available,No Error,2024-09-02T10:59:10+00:00,False
71067,10544,2,CCS2_400,4.0,500,,NoError,NoError,Available,No Error,2024-09-03T16:45:09+00:00,False
113892,16944,1,CCS2_400,1.0,500,,NoError,NoError,Available,No Error,2024-09-03T11:18:58+00:00,False
113893,16944,2,CCS2_400,4.0,500,,NoError,NoError,Available,No Error,2024-09-03T11:18:41+00:00,False
84004,12615,1,CCS2_400,1.0,500,,NoError,NoError,Available,No Error,2024-09-03T15:41:31+00:00,False
84005,12615,2,CCS2_400,4.0,500,,NoError,NoError,Available,No Error,2024-09-03T17:49:01+00:00,False
72004,10584,1,CCS2_400,1.0,500,,NoError,NoError,Available,No Error,2024-09-03T17:46:45+00:00,False
72005,10584,2,CCS2_400,4.0,500,,NoError,NoError,Available,No Error,2024-09-02T09:42:20+00:00,False
113890,16951,1,CCS2_400,1.0,500,,NoError,NoError,Available,No Error,2024-09-03T16:00:42+00:00,False
113891,16951,2,CCS2_400,4.0,500,,NoError,NoError,Available,No Error,2024-09-03T16:05:10+00:00,False
131978,20798,1,CCS2_400,1.0,500,,NoError,NoError,Available,No Error,2024-09-03T15:59:51+00:00,False
131979,20798,2,CCS2_400,4.0,500,,NoError,NoError,Available,No Error,2024-09-03T16:03:41+00:00,False
51422,8109,1,CCS2_400,1.0,500,,NoError,NoError,Available,No Error,2024-09-03T18:13:42+00:00,False
51423,8109,2,CCS2_400,4.0,500,,NoError,NoError,Available,No Error,2024-09-03T16:31:47+00:00,False
131972,20804,1,CCS2_400,1.0,500,,NoError,NoError,Available,No Error,2024-09-03T18:14:14+00:00,False
131973,20804,2,CCS2_400,4.0,500,,NoError,NoError,Available,No Error,2024-09-03T11:04:57+00:00,False
90737,9008,1,CCS2_400,1.0,500,,NoError,NoError,Available,No Error,2024-09-03T20:29:37+00:00,False
90738,9008,2,CCS2_400,4.0,500,,NoError,NoError,Available,No Error,2024-09-03T13:39:49+00:00,False
114043,17734,1,CCS2_400,1.0,500,,NoError,NoError,Available,No Error,2024-09-03T15:58:05+00:00,False
114044,17734,2,CCS2_400,4.0,500,,NoError,NoError,Available,No Error,2024-09-02T18:47:31+00:00,False
63934,9918,1,CCS2_400,1.0,500,,NoError,NoError,Available,No Error,2024-09-03T15:22:55+00:00,False
63935,9918,2,CCS2_400,4.0,500,,NoError,NoError,Available,No Error,2024-09-03T12:23:28+00:00,False
114909,17815,1,CCS2_400,1.0,500,,NoError,NoError,Available,No Error,2024-09-03T16:27:32+00:00,False
114910,17815,2,CCS2_400,4.0,500,,NoError,NoError,Available,No Error,2024-09-03T16:09:56+00:00,False
58454,9088,1,CCS2_400,1.0,500,,NoError,NoError,Unavailable,No Error,2024-08-31T07:15:35+00:00,False
58455,9088,2,CCS2_400,4.0,500,,NoError,NoError,Unavailable,No Error,2024-08-31T07:27:15+00:00,False
95398,6708,1,CCS2_400,1.0,500,,NoError,NoError,Available,No Error,2024-09-03T13:42:21+00:00,False
95399,6708,2,CCS2_400,4.0,500,,NoError,NoError,Available,No Error,2024-09-03T12:39:44+00:00,False
52544,8111,1,CCS2_400,1.0,500,,NoError,NoError,Available,No Error,2024-09-03T13:48:28+00:00,False
52545,8111,2,CCS2_400,4.0,500,,NoError,NoError,Available,No Error,2024-09-03T12:44:26+00:00,False
51374,6724,1,CCS2_400,1.0,500,,NoError,NoError,Available,No Error,2024-09-03T08:10:54+00:00,False
51375,6724,2,CCS2_400,4.0,500,,NoError,NoError,Available,No Error,2024-09-03T11:58:48+00:00,False
131033,20790,1,CCS2_400,1.0,500,,NoError,NoError,Available,No Error,2024-09-03T16:45:26+00:00,False
131034,20790,2,CCS2_400,4.0,500,,NoError,NoError,Available,No Error,2024-09-03T13:20:45+00:00,False
51434,8114,1,CCS2_400,1.0,500,,NoError,NoError,Available,No Error,2024-09-03T10:47:01+00:00,False
51435,8114,2,CCS2_400,4.0,500,,NoError,NoError,Available,No Error,2024-09-03T11:24:45+00:00,False
62644,9010,1,CCS2_400,1.0,500,,NoError,NoError,Available,No Error,2024-09-03T06:17:36+00:00,False
62645,9010,2,CCS2_400,4.0,500,,NoError,NoError,Available,No Error,2024-09-03T15:24:31+00:00,False
60126,9219,1,CCS2_400,1.0,500,,NoError,NoError,Available,No Error,2024-09-03T18:51:04+00:00,False
60127,9219,2,CCS2_400,4.0,500,,NoError,NoError,Available,No Error,2024-09-03T17:23:27+00:00,False
114903,17812,1,CCS2_400,1.0,500,,NoError,NoError,Available,No Error,2024-09-02T16:13:25+00:00,False
114904,17812,2,CCS2_400,4.0,500,,NoError,NoError,Available,No Error,2024-09-03T07:14:50+00:00,False
114522,16948,1,CCS2_400,1.0,500,,NoError,NoError,Available,No Error,2024-09-02T17:04:01+00:00,False
114523,16948,2,CCS2_400,4.0,500,,NoError,NoError,Available,No Error,2024-09-03T19:58:01+00:00,False
128258,19532,1,CCS2_400,1.0,500,,NoError,NoError,Available,No Error,2024-09-03T10:18:59+00:00,False
128259,19532,2,CCS2_400,4.0,500,,NoError,NoError,Available,No Error,2024-09-03T16:53:50+00:00,False
114207,16933,1,CCS2_400,1.0,500,,NoError,NoError,Available,No Error,2024-09-03T14:24:45+00:00,False
114208,16933,2,CCS2_400,4.0,500,,NoError,NoError,Available,No Error,2024-09-03T16:00:22+00:00,False
114191,16950,1,CCS2_400,1.0,500,,NoError,NoError,Available,No Error,2024-09-03T18:20:11+00:00,False
114192,16950,2,CCS2_400,4.0,500,,NoError,NoError,Available,No Error,2024-09-03T18:03:39+00:00,False
70521,10539,1,CCS2_400,1.0,500,,NoError,NoError,Available,No Error,2024-09-03T14:38:19+00:00,False
