connector_evse_id,station_name,station_address,station_postal_code,station_coordinates_lat,station_coordinates_lon,station_brand,totEnergy,totSessions,totCost,Potenza (kW),Station Città,Ricavi totali (€) (IVA esclusa),Tempo Totale (min),denominazione_regione,EV_percentage_per_region
IT*F2X*EF2XITD2001*1,Area di Servizio - Brianza Nord,A4 Torino - Trieste,20864,45.57584,9.39376,alpitronic GmbH,24333.295999999973,886,16559.11,300.0,Caponago,25434.2,30196.0,Lombardia,0.0767
IT*F2X*EF2XITB2502*1,Area di Servizio - Prenestina Est,A1 - Autostrada del Sole,10,41.891269,12.759088,alpitronic GmbH,24057.145000000004,789,16316.08,300.0,Roma,14955.11,18140.0,Lazio,0.0694
IT*F2X*EF2XITB2502*2,Area di Servizio - Prenestina Est,A1 - Autostrada del Sole,10,41.891269,12.759088,alpitronic GmbH,15613.739000000009,493,10545.22,300.0,Roma,8378.07,10252.0,Lazio,0.0694
IT*F2X*EF2XITM2051*3,Area di Servizio - Po Est,A13 Bologna - Padova,44121,44.879292,11.570791,EVTEC,765.2319999999999,138,347.9,22.0,Ferrara,392.18,6135.0,Emilia-Romagna,0.0661
IT*F2X*EF2XITB2501*1,Area di Servizio - Prenestina Est,A1 - Autostrada del Sole,10,41.891249,12.75905,alpitronic GmbH,18214.471,604,12485.7,300.0,Roma,12455.8,14959.0,Lazio,0.0694
IT*F2X*EF2XITB2501*2,Area di Servizio - Prenestina Est,A1 - Autostrada del Sole,10,41.891249,12.75905,alpitronic GmbH,15626.553999999998,487,10687.18,300.0,Roma,8840.77,10769.0,Lazio,0.0694
IT*F2X*EF2XITD2001*2,Area di Servizio - Brianza Nord,A4 Torino - Trieste,20864,45.57584,9.39376,alpitronic GmbH,26389.895999999993,925,17945.67,300.0,Caponago,28321.27,33412.0,Lombardia,0.0767
IT*F2X*EF2XITD2002*1,Area di Servizio - Brianza Nord,A4 Torino - Trieste,20864,45.57585,9.39382,alpitronic GmbH,32117.808000000023,1177,21863.69,300.0,Caponago,27513.35,32159.0,Lombardia,0.0767
IT*F2X*EF2XITB2551*1,Area di Servizio - Prenestina Est,A1 - Autostrada del Sole,10,41.891073,12.759,EVTEC,1865.7380000000005,80,997.71,62.5,Roma,538.1899999999999,1332.0,Lazio,0.0694
IT*F2X*EF2XITD2002*2,Area di Servizio - Brianza Nord,A4 Torino - Trieste,20864,45.57585,9.39382,alpitronic GmbH,20513.39599999998,736,13972.17,300.0,Caponago,16388.51,20452.0,Lombardia,0.0767
