chargerId,gpsLat,gpsLong,serialNumber,status,statusText
83765,44.6097,8.6613,24BZ1705B,Available,
83767,44.6097,8.6613,24BZ1707B,Available,
83775,45.7601,8.8096,24BZ1715B,Available,Client Modem connected
83820,45.5738,9.3887,24BZ1800B,Available,
83836,45.7341,9.3835,24BZ1816B,Available,
71210,44.962869094179965,9.904442132244839,24BZ4451D,Available,No Error
6726,45.32181749999999,9.3746729,21BZ2763B,Available,
6724,45.321012,9.375258,21BZ2765B,Available,
8110,45.57585,9.39382,21BZ3096B,Available,
8117,45.57584,9.39376,21BZ3103B,Available,
8896,44.96265,9.90435,22BZ0544B,Available,
8897,44.96261,9.90443,22BZ0545B,Available,
8932,45.07489,8.50897,22BZ0546B,Available,
8933,45.07462,8.51099,22BZ0547B,Available,
8934,45.07469,8.51101,22BZ0548B,Available,
8935,45.0749,8.50907,22BZ0549B,Available,
9008,45.57416179644078,9.392527994720972,22BZ0556B,Available,
9010,45.32151,9.37723,22BZ0558B,Available,
10288,45.76237,8.81087,22BZ0562B,Available,
9838,45.729051,9.028446,22BZ0658B,Available,
9839,45.7293,9.02912,22BZ0659B,Charging,
9835,45.5738853,9.392548999999999,22BZ0662B,Available,
9834,44.962917870900945,9.906272294036722,22BZ0664B,Available,
9921,45.76298,8.80962,22BZ0666B,Charging,
9922,45.4616799,9.2765061,22BZ0667B,Available,
9841,45.32147,9.37718,22BZ0668B,Available,
9842,45.72983940534127,9.02800875314488,22BZ0669B,Available,
9920,45.46226590000001,9.2378661,22BZ0671B,Available,
9844,45.773998,9.04934,22BZ0673B,Available,
10545,45.461887776561866,9.2763829988045,22BZ0686B,Available,
10583,45.76241,8.81087,22BZ1156B,Available,
10584,45.76292,8.80962,22BZ1158B,Available,
12615,45.4616799,9.2765061,22BZ2234B,Available,
12616,45.4616799,9.2765061,22BZ2235B,Available,
13441,44.96296017659537,9.906183880356323,22BZ3001B,Available,
13446,45.14231059784972,9.632817601064309,22BZ3018B,Available,
17815,45.142907671285826,9.634451384519403,22BZ5316B,Available,
17814,45.6274098,8.7121458,22BZ5317B,Charging,
17813,45.62475539738236,8.712067013491533,22BZ5318B,Charging,
16933,44.589635,8.664777,22BZ6968B,Available,
16939,44.874039,8.833501,22BZ6974B,Available,
16941,45.142907671285826,9.634451384519403,22BZ6976B,Available,
16944,44.6763717,8.6581214,22BZ6979B,Available,Client Modem connected
16946,44.59141,8.665706,22BZ6981B,Available,
16948,45.613064,8.720427,22BZ6983B,Available,
16949,45.14232079789667,9.632879063429876,22BZ6984B,Available,
16950,44.609688,8.661311,22BZ6985B,Available,
19749,45.559134,9.039494,23BZ0050B,Available,
19748,45.548589,9.210064,23BZ0051B,Available,
19746,45.5756,9.0086,23BZ0053B,Available,
19741,45.55895321501664,9.042345936402977,23BZ0058B,Available,
19529,44.60469302341558,8.953060110443314,23BZ1043B,Available,
19531,45.54818,9.202131,23BZ1045B,Available,
20807,45.633854267288555,9.600788152862714,23BZ1503B,Available,Door Opened
20805,45.633854267288555,9.600788152862714,23BZ1504B,Available,
20804,45.517027,9.147218,23BZ1505B,Available,
20795,44.60469167309025,8.953054420619305,23BZ1514B,Available,Client Modem connected
20792,45.55872953594708,9.039780726784565,23BZ1517B,Available,
83754,44.5996,8.6657,24BZ1694B,Available,
83765,44.6097,8.6613,24BZ1705B,Available,
83767,44.6097,8.6613,24BZ1707B,Available,
83775,45.7601,8.8096,24BZ1715B,Available,Client Modem connected
83820,45.5738,9.3887,24BZ1800B,Available,
83836,45.7341,9.3835,24BZ1816B,Available,
71210,44.962869094179965,9.904442132244839,24BZ4451D,Available,No Error
6727,43.48079,13.59644,21BZ2762B,Unavailable,No Error
6725,43.48079,13.59624,21BZ2764B,Available,
9218,43.62697,13.33526,22BZ0551B,Available,
9219,43.62697,13.33516,22BZ0552B,Available,
9087,42.5483537,14.1012901,22BZ0655B,Available,
9088,42.53072,14.12426,22BZ0656B,Available,Client Modem connected
10547,42.531719172262456,14.12450694544286,22BZ0688B,Available,
10548,42.53174922101295,14.124406425212973,22BZ0689B,Available,
13426,43.084033,13.844127,22BZ3006B,Available,Client Modem connected
13418,43.07510245885713,13.842822845673412,22BZ3013B,Available,
13415,43.07509608255541,13.842811499524647,22BZ3016B,Unavailable,Connection lost.
17821,42.200748,14.59728,22BZ5310B,Available,
17819,43.4811877716243,13.594831033913861,22BZ5312B,Available,
17810,42.203846,14.535772,22BZ5321B,Available,
19524,43.619242,13.336944,23BZ1038B,Available,
19525,43.652973,13.32744,23BZ1039B,Available,
19526,42.199803,14.610773,23BZ1040B,Available,
19533,42.200086006483396,14.561545153634789,23BZ1047B,Unavailable,Connection lost.
6725,43.48079,13.59624,21BZ2764B,Available,
9218,43.62697,13.33526,22BZ0551B,Available,
9219,43.62697,13.33516,22BZ0552B,Available,
9009,43.99436,12.61855,22BZ0557B,Available,
9264,43.99432,12.61851,22BZ0560B,Available,
9087,42.5483537,14.1012901,22BZ0655B,Available,
9088,42.53072,14.12426,22BZ0656B,Available,Client Modem connected
10547,42.531719172262456,14.12450694544286,22BZ0688B,Available,
10548,42.53174922101295,14.124406425212973,22BZ0689B,Available,
13426,43.084033,13.844127,22BZ3006B,Available,Client Modem connected
13422,43.071302,13.844789,22BZ3009B,Available,
13418,43.07510245885713,13.842822845673412,22BZ3013B,Available,
13415,43.07509608255541,13.842811499524647,22BZ3016B,Unavailable,Connection lost.
17819,43.4811877716243,13.594831033913861,22BZ5312B,Available,
19524,43.619242,13.336944,23BZ1038B,Available,
19525,43.652973,13.32744,23BZ1039B,Available,
6772,44.66244,10.85816,21BZ2008A,Available,
6590,44.66229,10.85797,21BZ2727B,Available,
6709,44.66229,10.85801,21BZ2781B,Available,
8111,44.51957,11.21374,21BZ3097B,Available,
8112,44.51956,11.21367,21BZ3098B,Available,
8116,44.5183,11.21429,21BZ3102B,Available,Client Modem connected
8118,44.51834,11.21432,21BZ3104B,Available,Client Modem connected
8896,44.96265,9.90435,22BZ0544B,Available,
8897,44.96261,9.90443,22BZ0545B,Available,
8936,44.88013,11.56906,22BZ0550B,Available,
9006,44.88008,11.56906,22BZ0554B,Available,Client Modem connected
9840,43.81879540319122,11.172247703403862,22BZ0660B,Available,
9837,44.87931,11.57073,22BZ0661B,Available,
9834,44.962917870900945,9.906272294036722,22BZ0664B,Available,
9729,43.81879153258581,11.17229195985093,22BZ0665B,Available,
9919,44.87931,11.57079,22BZ0670B,Available,Client Modem connected
9817,43.83179219080415,11.16010001834332,22BZ0674B,Available,
10268,43.831800414049304,11.160087277850982,22BZ0679B,Available,Door Opened
12613,45.53250080821757,10.148404368913836,22BZ2232B,Available,
12617,45.53245626526257,10.148463121581308,22BZ2236B,Available,
12618,45.53256573064744,10.151177887472565,22BZ2237B,Faulted,
12619,44.4277929435558,11.59927773004565,22BZ2238B,Available,
11457,45.5322914,10.1514359,22BZ2239B,Available,
11428,44.4278511,11.5986996,22BZ2240B,Unavailable,Connection lost.
